time_s,event,communication_mode,control_algorithm,count,delay_s,deliver_time_s,hop,link_type,origin_id,packet_size_bytes,protocol,receiver,sender,speed_mps,tx_delay_s,vehicle,vehicle_a,vehicle_b
47.5,v2v_packet_sent,,,,,47.6355,3,,29,600,CV2X_PC5,38,29,,0.00048,,,
47.5,v2v_packet_sent,,,,,47.6355,3,,29,600,CV2X_PC5,39,29,,0.00048,,,
47.5,warning_received,,,,0.18548,,2,V2V,29,600,CV2X_PC5,33,28,,,,,
47.5,v2v_packet_sent,,,,,47.6355,3,,29,600,CV2X_PC5,38,33,,0.00048,,,
47.5,v2v_packet_sent,,,,,47.6355,3,,29,600,CV2X_PC5,39,33,,0.00048,,,
47.5,warning_received,,,,0.18548,,2,V2V,29,600,CV2X_PC5,38,28,,,,,
47.5,v2v_packet_sent,,,,,47.6355,3,,29,600,CV2X_PC5,20,38,,0.00048,,,
47.5,v2v_packet_sent,,,,,47.6355,3,,29,600,CV2X_PC5,39,38,,0.00048,,,
47.5,v2v_packet_sent,,,,,47.6355,3,,29,600,CV2X_PC5,43,38,,0.00048,,,
47.5,warning_received,,,,0.18548,,2,V2V,29,600,CV2X_PC5,39,28,,,,,
47.7,duplicate_warning_ignored,,,,,,,V2V,,,,29,14,,,,,
47.7,duplicate_warning_ignored,,,,,,,V2V,,,,33,14,,,,,
47.7,duplicate_warning_ignored,,,,,,,V2V,,,,38,14,,,,,
47.7,duplicate_warning_ignored,,,,,,,V2V,,,,39,14,,,,,
47.7,duplicate_warning_ignored,,,,,,,V2V,,,,29,18,,,,,
47.7,duplicate_warning_ignored,,,,,,,V2V,,,,39,18,,,,,
47.7,duplicate_warning_ignored,,,,,,,V2V,,,,33,29,,,,,
47.7,duplicate_warning_ignored,,,,,,,V2V,,,,38,29,,,,,
47.7,duplicate_warning_ignored,,,,,,,V2V,,,,39,29,,,,,
47.7,duplicate_warning_ignored,,,,,,,V2V,,,,38,33,,,,,
47.7,duplicate_warning_ignored,,,,,,,V2V,,,,39,33,,,,,
47.7,warning_received,,,,0.33548,,3,V2V,29,600,CV2X_PC5,20,38,,,,,
47.7,v2v_packet_sent,,,,,47.8855,4,,29,600,CV2X_PC5,16,20,,0.00048,,,
47.7,v2v_packet_sent,,,,,47.8855,4,,29,600,CV2X_PC5,30,20,,0.00048,,,
47.7,v2v_packet_sent,,,,,47.8855,4,,29,600,CV2X_PC5,43,20,,0.00048,,,
47.7,duplicate_warning_ignored,,,,,,,V2V,,,,39,38,,,,,
47.7,warning_received,,,,0.33548,,3,V2V,29,600,CV2X_PC5,43,38,,,,,
47.7,v2v_packet_sent,,,,,47.8855,4,,29,600,CV2X_PC5,16,43,,0.00048,,,
47.7,v2v_packet_sent,,,,,47.8855,4,,29,600,CV2X_PC5,30,43,,0.00048,,,
47.9,warning_received,,,,0.58548,,4,V2V,29,600,CV2X_PC5,16,20,,,,,
47.9,v2v_packet_sent,,,,,48.1355,5,,29,600,CV2X_PC5,30,16,,0.00048,,,
47.9,v2v_packet_sent,,,,,48.1355,5,,29,600,CV2X_PC5,36,16,,0.00048,,,
47.9,warning_received,,,,0.58548,,4,V2V,29,600,CV2X_PC5,30,20,,,,,
47.9,v2v_packet_sent,,,,,48.1355,5,,29,600,CV2X_PC5,36,30,,0.00048,,,
47.9,duplicate_warning_ignored,,,,,,,V2V,,,,43,20,,,,,
47.9,duplicate_warning_ignored,,,,,,,V2V,,,,16,43,,,,,
47.9,duplicate_warning_ignored,,,,,,,V2V,,,,30,43,,,,,
48.2,duplicate_warning_ignored,,,,,,,V2V,,,,30,16,,,,,
48.2,warning_received,,,,0.83548,,5,V2V,29,600,CV2X_PC5,36,16,,,,,
48.2,duplicate_warning_ignored,,,,,,,V2V,,,,36,30,,,,,
68.7,collision,,,,,,,,,,,,,,,,54,20
