time_s,vehicle_id,x_m,y_m,speed_mps,lane_id,edge_id,warning_received
5.8,3,587.8305650386249,432.00888098104343,5.824091805203121,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
5.8,4,755.4792491446866,445.3191389060277,4.002465909311573,1278204168#0_0,1278204168#0,False
5.8,5,509.84603644867,310.5139555406333,1.853916372170356,:6789341865_3_0,:6789341865_3,False
5.9,1,627.107424843746,444.60151772234127,9.699125710379606,817119562#3_0,817119562#3,False
5.9,2,584.697515609778,364.4385097285418,8.020483683044173,466112794#6_0,466112794#6,False
5.9,3,587.5145070258422,432.5277521001969,6.075812161080308,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
5.9,4,755.287325158382,445.6913460769792,4.187703775821278,1278204168#0_0,1278204168#0,False
5.9,5,509.9767061763444,310.354567191492,2.0619673383777153,:6789341865_3_0,:6789341865_3,False
6.0,1,626.4558463581641,443.85444619338017,9.915264112873277,:6789351759_1_0,:6789351759_1,False
6.0,2,585.231706023585,365.0691216088498,8.265526917515404,466112794#6_0,466112794#6,False
6.0,3,587.1872853592535,433.0649505431643,6.290419166169364,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
6.0,4,755.0838646858416,446.0859264957318,4.439425240656851,1278204168#0_0,1278204168#0,False
6.0,5,510.11675319719484,310.18374060561945,2.2099409554928466,:6789341865_3_0,:6789341865_3,False
6.1,1,625.7949333667333,443.09662718316366,10.06009964804472,:6789351759_1_0,:6789351759_1,False
6.1,2,585.779730568035,365.71606468288877,8.479582385853014,466112794#6_0,466112794#6,False
6.1,3,586.8485460751808,433.62105741063647,6.511830671478297,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
6.1,4,754.873798767959,446.4933171638493,4.583553387079878,1278204168#0_0,1278204168#0,False
6.1,5,510.21782820525993,309.9773662377573,2.401487576682827,:6789341865_3_0,:6789341865_3,False
6.2,1,625.1247455482021,442.3281734292149,10.20127660485757,:6789351759_1_0,:6789351759_1,False
6.2,2,586.3441802267424,366.38239760728527,8.733728137085295,466112794#6_0,466112794#6,False
6.2,3,586.5012923550305,434.19114239224564,6.675509844836547,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
6.2,4,754.6555365728723,446.9166032560315,4.762392841472314,1278204168#0_0,1278204168#0,False
6.2,5,510.2402259038955,309.71232680390256,2.6610266551312605,:6789341865_3_0,:6789341865_3,False
6.3,1,624.4442115614214,441.5478565055539,10.358761001313844,:6789351759_1_0,:6789351759_1,False
6.3,2,586.9252095090432,367.06830278033834,8.990264610880136,466112794#6_0,466112794#6,False
6.3,3,586.1405288636795,434.7834063087938,6.935217964343961,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
6.3,4,754.4266048984988,447.3605811688522,4.995196565256478,1278204168#0_0,1278204168#0,False
6.3,5,510.2645523309037,309.4244640843061,2.890175091019607,:6789341865_3_0,:6789341865_3,False
6.4,1,623.7486383330404,440.750295219425,10.587681102888466,:6789351759_1_0,:6789351759_1,False
6.4,2,587.5184899782506,367.768670481755,9.179827194804407,466112794#6_0,466112794#6,False
6.4,3,585.7701952364994,435.3913814773503,7.119191618868849,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
6.4,4,754.1888754078981,447.8216210985243,5.1871613578982885,1278204168#0_0,1278204168#0,False
6.4,5,510.29005650847716,309.1226646496868,3.0301013262274292,:6789341865_3_0,:6789341865_3,False
6.5,1,623.0396114313733,439.93730762226033,10.792466446262125,:6789351759_1_0,:6789351759_1,False
6.5,2,588.1271851931738,368.48723529328265,9.418339516154106,466112794#6_0,466112794#6,False
6.5,3,585.3893873158584,436.0165522497218,7.320546550603817,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
6.5,4,753.9403341985399,448.30362870049885,5.423068689417117,1278204168#0_0,1278204168#0,False
6.5,5,510.3169986333163,308.8038495057571,3.2009410211823495,:6789341865_3_0,:6789341865_3,False
6.6,1,622.3205431960895,439.1128063862334,10.945310796567512,:6789351759_1_0,:6789351759_1,False
6.6,2,588.7465881553217,369.2184406023496,9.584020461795467,466112794#6_0,466112794#6,False
6.6,3,584.9979322962483,436.65920231998905,7.525223447817611,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
6.6,4,753.6832272261897,448.8022482876227,5.609970174296316,1278204168#0_0,1278204168#0,False
6.6,5,510.26344492859494,308.4791422047512,3.3791133130069433,:6789341865_3_0,:6789341865_3,False
6.7,1,621.5884836853863,438.2734090358808,11.143057742031099,:6789351759_1_0,:6789351759_1,False
6.7,2,589.375406780568,369.9607611034106,9.729708993028929,466112794#6_0,466112794#6,False
6.7,3,584.5989277795869,437.31424636802535,7.670352899185149,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
6.7,4,753.4148500631371,449.3227246831538,5.855881178269185,1278204168#0_0,1278204168#0,False
6.7,5,510.1358381967506,308.1515547737478,3.517203256779591,:6789341865_3_0,:6789341865_3,False
6.8,1,620.8394113506707,437.4145043651679,11.40201876576598,:6789351759_1_0,:6789351759_1,False
6.8,2,590.0192565072036,370.72082582238573,9.962285186689426,466112794#6_0,466112794#6,False
6.8,3,584.193009986032,437.98063991385516,7.803251829517307,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
6.8,4,753.1345916641231,449.86624291576726,6.1151249427157675,1278204168#0_0,1278204168#0,False
6.8,5,510.0002336910929,307.80343574429816,3.7376445743867737,:6789341865_3_0,:6789341865_3,False
6.9,1,620.0732609587814,436.5360175761555,11.661972737303742,:6789351759_1_0,:6789351759_1,False
6.9,2,590.6793398912846,371.5000543769169,10.213468527152747,466112794#6_0,466112794#6,False
6.9,3,583.777469576879,438.6628308675111,7.988234340667026,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
6.9,4,752.8437263166876,450.43033169998523,6.346564268306385,1278204168#0_0,1278204168#0,False
